Year	No. of records with a forename	No. of male/mostly male forename records	No. of female/mostly female forename records	No. of gender-undetermined forename records	% of records with a male/mostly male forename	% of records with a female/mostly female forename	% of records with a gender-undetermined forename	Gender ratio of (male+mostly male)/(female + mostly female) forename records	No. of records with a middle name	Avg. no. of middle names per record (for records with >=1 middle name)	No. of different forenames seen	Forename diversity (i.e., ratio of the no. of different forenames to the total no. of records per year)	% of this year's forenames not used in the previous year	Most popular forename (% of records)	Second most popular forename (% of records)	Third most popular forename (% of records)	Fourth most popular forename (% of records)	Fifth most popular forename (% of records)	Most popular middle name (% of records)	Second most popular middle name (% of records)	Third most popular middle name (% of records)	Fourth most popular middle name (% of records)	Fifth most popular middle name (% of records)
1933	121266	60843	59955	468	50.173	49.441	0.386	1.015	54382	1.050	2244	0.019	44.786	John (4.816%)	Margaret (3.299%)	Jean (2.330%)	William (2.244%)	Mary (2.011%)	M (7.428%)	J (5.077%)	A (4.399%)	E (4.163%)	Mary (3.102%)
1934	119155	60042	58605	508	50.390	49.184	0.426	1.025	56298	1.048	2280	0.019	45.570	John (5.025%)	Margaret (3.135%)	Jean (2.309%)	William (2.216%)	Mary (1.988%)	M (7.466%)	J (4.976%)	A (4.612%)	E (3.954%)	Mary (2.760%)
1935	120883	61071	59331	481	50.521	49.081	0.398	1.029	57900	1.052	2292	0.019	45.375	John (5.099%)	Margaret (3.221%)	Jean (2.237%)	William (2.152%)	Brian (2.086%)	M (7.226%)	A (5.085%)	J (4.940%)	E (4.011%)	Mary (3.077%)
1936	127386	64602	62352	432	50.714	48.947	0.339	1.036	59662	1.054	2315	0.018	45.270	John (5.190%)	Margaret (3.263%)	Brian (2.306%)	William (2.077%)	Jean (2.068%)	M (6.697%)	A (5.612%)	J (4.909%)	E (4.408%)	Mary (2.761%)
1937	120174	61025	58670	479	50.781	48.821	0.399	1.040	60479	1.062	2304	0.019	44.444	John (5.122%)	Margaret (3.430%)	Brian (2.388%)	William (2.103%)	Jean (2.062%)	M (6.223%)	A (5.326%)	J (4.955%)	E (4.597%)	Mary (2.806%)
1938	122335	61688	60192	455	50.425	49.203	0.372	1.025	61434	1.055	2355	0.019	45.817	John (5.073%)	Margaret (3.208%)	Brian (2.292%)	David (2.119%)	Peter (2.047%)	M (6.296%)	A (5.756%)	J (4.981%)	E (3.877%)	Mary (2.780%)
1939	125678	63603	61630	445	50.608	49.038	0.354	1.032	62316	1.053	2308	0.018	43.977	John (5.155%)	Margaret (3.091%)	David (2.520%)	Brian (2.160%)	Patricia (2.112%)	M (5.716%)	A (5.672%)	J (4.930%)	E (3.655%)	Mary (2.837%)
1940	119333	60506	58396	431	50.703	48.935	0.361	1.036	62821	1.053	2308	0.019	44.541	John (5.121%)	Margaret (2.992%)	David (2.778%)	Patricia (2.284%)	William (2.049%)	A (5.786%)	M (5.566%)	J (4.841%)	E (3.499%)	Ann (3.006%)
1941	124753	63090	61224	439	50.572	49.076	0.352	1.030	64579	1.055	2410	0.019	46.266	John (5.179%)	Margaret (3.203%)	David (3.101%)	Patricia (2.397%)	Peter (2.123%)	A (5.430%)	M (4.953%)	J (4.641%)	Ann (3.518%)	E (3.239%)
1942	126210	64216	61493	501	50.880	48.723	0.397	1.044	69346	1.054	2513	0.020	47.433	John (5.152%)	David (3.440%)	Margaret (2.746%)	Patricia (2.493%)	Michael (2.352%)	A (5.906%)	M (5.127%)	J (4.785%)	Ann (3.752%)	E (3.347%)
1943	138396	70286	67600	510	50.786	48.845	0.369	1.040	76599	1.052	2703	0.020	48.502	John (5.032%)	David (3.735%)	Margaret (2.645%)	Michael (2.439%)	Peter (2.323%)	A (6.308%)	M (5.577%)	J (5.239%)	Ann (3.759%)	E (3.210%)
1944	143982	73101	70313	568	50.771	48.835	0.394	1.040	86224	1.048	2810	0.020	47.224	John (4.915%)	David (4.082%)	Margaret (2.519%)	Michael (2.445%)	Peter (2.341%)	A (5.871%)	M (5.102%)	J (5.006%)	Ann (3.878%)	E (3.086%)
1945	136803	69605	66689	509	50.880	48.748	0.372	1.044	79377	1.049	2798	0.020	47.713	John (5.131%)	David (3.999%)	Michael (2.466%)	Margaret (2.387%)	Peter (2.292%)	A (5.887%)	J (4.960%)	M (4.949%)	Ann (3.979%)	John (3.100%)
1946	159604	80978	78107	519	50.737	48.938	0.325	1.037	93809	1.042	2820	0.018	46.489	John (4.985%)	David (4.246%)	Michael (2.533%)	Peter (2.376%)	Margaret (2.275%)	A (6.331%)	J (5.639%)	M (5.569%)	Ann (3.943%)	E (3.312%)
1947	178966	90915	87466	585	50.800	48.873	0.327	1.039	102282	1.040	3024	0.017	48.975	John (4.809%)	David (4.154%)	Michael (2.578%)	Peter (2.413%)	Patricia (2.204%)	A (6.754%)	J (5.910%)	M (5.633%)	Ann (3.810%)	E (3.542%)
1948	151558	77181	73862	515	50.925	48.735	0.340	1.045	89397	1.043	2843	0.019	45.797	John (4.671%)	David (4.174%)	Michael (2.626%)	Susan (2.441%)	Peter (2.373%)	A (7.210%)	J (6.465%)	M (6.441%)	E (3.694%)	Ann (3.461%)
1949	146764	74486	71689	589	50.752	48.846	0.401	1.039	85993	1.046	2922	0.020	48.392	John (4.586%)	David (4.126%)	Susan (2.837%)	Michael (2.668%)	Peter (2.298%)	A (6.454%)	J (6.072%)	M (5.638%)	Ann (3.502%)	E (3.438%)
1950	135070	68379	66142	549	50.625	48.969	0.406	1.034	82088	1.045	2791	0.021	47.582	John (4.402%)	David (4.011%)	Susan (3.177%)	Michael (2.702%)	Peter (2.310%)	A (6.078%)	J (5.866%)	M (5.328%)	John (3.584%)	Ann (3.515%)
1951	110042	55674	53938	430	50.593	49.016	0.391	1.032	67821	1.046	2495	0.023	44.930	David (4.137%)	John (4.085%)	Susan (3.344%)	Michael (2.587%)	Peter (2.389%)	A (7.021%)	J (6.829%)	M (5.754%)	E (3.535%)	John (3.523%)
1952	99771	50760	48644	367	50.877	48.756	0.368	1.043	62144	1.044	2355	0.024	45.605	John (4.161%)	David (4.134%)	Susan (3.529%)	Michael (2.599%)	Peter (2.394%)	A (6.633%)	J (6.294%)	M (5.536%)	John (3.744%)	Ann (3.479%)
1953	97356	49522	47468	366	50.867	48.757	0.376	1.043	60949	1.042	2359	0.024	47.096	David (4.197%)	John (3.690%)	Susan (3.690%)	Stephen (2.474%)	Michael (2.449%)	J (6.060%)	A (6.009%)	M (5.164%)	John (3.885%)	Ann (3.449%)
1954	95511	48411	46727	373	50.686	48.923	0.391	1.036	60445	1.044	2311	0.024	46.387	David (4.211%)	John (3.656%)	Susan (3.623%)	Stephen (2.828%)	Michael (2.464%)	J (6.213%)	A (5.969%)	M (5.186%)	John (3.773%)	Ann (3.348%)
1955	95783	48911	46501	371	51.064	48.548	0.387	1.052	61327	1.042	2363	0.025	48.244	David (4.025%)	Susan (3.799%)	John (3.468%)	Stephen (3.007%)	Michael (2.364%)	A (6.217%)	J (6.201%)	M (5.164%)	John (4.005%)	Ann (3.086%)
1956	100221	50828	49022	371	50.716	48.914	0.370	1.037	64203	1.038	2483	0.025	48.812	David (3.911%)	John (3.404%)	Susan (3.381%)	Stephen (3.042%)	Peter (2.323%)	J (6.454%)	A (6.095%)	M (5.452%)	John (3.942%)	Ann (3.268%)
1957	103933	52838	50670	425	50.839	48.753	0.409	1.043	66995	1.038	2598	0.025	49.615	David (3.666%)	Stephen (3.228%)	Susan (3.215%)	John (3.134%)	Michael (2.422%)	J (6.253%)	A (5.973%)	M (4.951%)	John (3.962%)	Ann (3.438%)
1958	103948	52843	50709	396	50.836	48.783	0.381	1.042	67305	1.036	2606	0.025	49.041	David (3.686%)	Susan (3.201%)	Stephen (3.111%)	John (2.919%)	Paul (2.751%)	J (6.805%)	A (6.635%)	M (5.663%)	John (3.724%)	Ann (3.354%)
1959	110745	56424	53767	554	50.949	48.550	0.500	1.049	73082	1.036	2878	0.026	52.432	David (3.586%)	Susan (3.053%)	Stephen (2.965%)	John (2.725%)	Paul (2.569%)	J (7.670%)	A (7.423%)	M (5.907%)	John (3.461%)	E (3.187%)
1960	118772	60498	57710	564	50.936	48.589	0.475	1.048	80579	1.041	3028	0.025	52.477	David (3.567%)	Susan (2.767%)	Stephen (2.727%)	John (2.645%)	Paul (2.428%)	A (8.077%)	J (7.860%)	M (6.162%)	E (3.186%)	John (3.128%)
1961	122712	62431	59626	655	50.876	48.590	0.534	1.047	83607	1.040	3309	0.027	53.702	David (3.423%)	John (2.542%)	Paul (2.511%)	Stephen (2.506%)	Mark (2.418%)	A (7.391%)	J (7.159%)	M (5.537%)	John (3.285%)	Ann (3.029%)
1962	127607	65131	61700	776	51.040	48.352	0.608	1.056	87381	1.040	3466	0.027	55.280	David (3.920%)	Andrew (2.636%)	Paul (2.570%)	Mark (2.516%)	Stephen (2.345%)	A (7.185%)	J (6.520%)	M (5.286%)	John (3.438%)	Ann (3.075%)
1963	126869	64826	61127	916	51.097	48.181	0.722	1.061	87703	1.040	3769	0.030	55.665	David (3.496%)	Andrew (2.957%)	Paul (2.819%)	Mark (2.666%)	John (2.309%)	A (7.828%)	J (7.081%)	M (5.571%)	John (3.275%)	Ann (2.986%)
1964	130572	66238	63355	979	50.729	48.521	0.750	1.046	92544	1.043	3952	0.030	55.769	David (3.522%)	Paul (3.237%)	Andrew (2.999%)	Mark (2.405%)	John (2.381%)	J (6.707%)	A (6.586%)	M (4.799%)	John (3.683%)	Ann (3.081%)
1965	129427	65832	62492	1103	50.864	48.284	0.852	1.053	93022	1.045	4223	0.033	57.968	David (3.434%)	Paul (2.974%)	Andrew (2.946%)	John (2.219%)	Mark (2.203%)	J (6.894%)	A (6.699%)	M (4.925%)	John (3.541%)	Ann (2.951%)
1966	122678	62511	59021	1146	50.955	48.111	0.934	1.059	89064	1.043	4373	0.036	56.437	David (3.267%)	Paul (2.987%)	Andrew (2.977%)	Mark (2.427%)	John (2.026%)	J (7.135%)	A (6.514%)	M (4.811%)	John (3.613%)	Jane (2.939%)
1967	114382	58339	55000	1043	51.004	48.084	0.912	1.061	83977	1.047	4258	0.037	55.214	David (3.193%)	Paul (2.963%)	Andrew (2.948%)	Mark (2.608%)	John (1.876%)	J (6.425%)	A (5.691%)	M (4.429%)	John (3.824%)	Jane (3.351%)
1968	110440	56092	53173	1175	50.790	48.147	1.064	1.055	81773	1.044	4609	0.042	57.496	David (2.994%)	Paul (2.907%)	Andrew (2.679%)	Mark (2.514%)	John (1.735%)	J (5.437%)	A (4.321%)	John (3.894%)	M (3.603%)	Jane (3.563%)
1969	97242	49249	46878	1115	50.646	48.208	1.147	1.051	72196	1.047	4444	0.046	55.446	Paul (2.808%)	David (2.593%)	Andrew (2.548%)	Mark (2.388%)	John (1.793%)	J (5.148%)	A (4.003%)	John (3.831%)	Jane (3.605%)	M (3.176%)
1970	95982	48884	45834	1264	50.930	47.753	1.317	1.067	71708	1.048	4549	0.047	56.122	Paul (2.699%)	David (2.587%)	Andrew (2.436%)	Mark (2.160%)	Jason (2.041%)	J (5.282%)	John (3.874%)	Jane (3.836%)	Louise (3.572%)	A (3.475%)
1971	96639	48780	46692	1167	50.477	48.316	1.208	1.045	72945	1.049	4609	0.048	56.021	Paul (2.497%)	David (2.390%)	Andrew (2.214%)	Mark (2.200%)	Jason (2.084%)	J (4.870%)	Jane (4.203%)	Louise (4.012%)	John (3.870%)	A (3.187%)
1972	89252	45268	42765	1219	50.719	47.915	1.366	1.059	68177	1.052	4632	0.052	56.002	Paul (2.525%)	David (2.283%)	Andrew (2.254%)	Mark (2.253%)	Lisa (1.675%)	J (4.739%)	Louise (4.258%)	Jane (4.137%)	John (4.088%)	A (2.868%)
1973	83550	42330	40138	1082	50.664	48.041	1.295	1.055	64524	1.054	4494	0.054	54.851	Paul (2.579%)	Mark (2.403%)	David (2.309%)	Andrew (2.138%)	Sarah (1.822%)	Louise (4.727%)	J (4.371%)	Jane (4.178%)	John (3.880%)	James (2.916%)
1974	69626	35506	33093	1027	50.995	47.530	1.475	1.073	54096	1.060	4197	0.060	55.373	Paul (2.518%)	Andrew (2.281%)	Mark (2.259%)	David (2.103%)	Sarah (1.962%)	J (5.853%)	Louise (4.774%)	A (3.720%)	Jane (3.591%)	John (3.329%)
1975	60394	30462	28983	949	50.439	47.990	1.571	1.051	46962	1.057	3985	0.066	55.935	Paul (2.492%)	Andrew (2.148%)	David (2.105%)	Sarah (2.096%)	Mark (2.038%)	J (6.792%)	A (4.520%)	Louise (4.401%)	M (3.874%)	L (3.606%)
1976	57695	29161	27385	1149	50.543	47.465	1.992	1.065	44562	1.060	4316	0.075	60.473	Paul (2.321%)	David (2.111%)	Andrew (2.038%)	Sarah (1.896%)	Mark (1.896%)	J (7.032%)	A (4.768%)	Louise (4.071%)	M (4.021%)	L (3.936%)
1977	56564	28429	27055	1080	50.260	47.831	1.909	1.051	44552	1.072	4302	0.076	58.368	Paul (2.378%)	David (2.132%)	Andrew (2.049%)	Sarah (1.895%)	Mark (1.632%)	J (7.372%)	A (5.188%)	L (4.482%)	M (4.411%)	Louise (4.019%)
1978	58340	29303	27807	1230	50.228	47.664	2.108	1.054	46100	1.074	4498	0.077	59.115	Paul (2.269%)	Andrew (2.144%)	David (2.119%)	Christopher (1.824%)	Sarah (1.752%)	J (7.393%)	A (5.379%)	L (4.838%)	M (4.569%)	Louise (4.418%)
1979	56835	28479	27104	1252	50.108	47.689	2.203	1.051	45114	1.070	4560	0.080	58.640	Andrew (2.226%)	David (2.073%)	Paul (2.046%)	Christopher (1.826%)	Emma (1.793%)	J (8.391%)	A (5.604%)	L (5.422%)	M (4.906%)	Louise (4.326%)
1980	55897	27734	26953	1210	49.616	48.219	2.165	1.029	44760	1.069	4669	0.084	59.092	Andrew (2.132%)	Paul (1.937%)	David (1.886%)	Emma (1.830%)	Sarah (1.798%)	J (7.509%)	L (5.278%)	A (5.155%)	M (4.856%)	Louise (4.664%)
1981	52824	26292	25414	1118	49.773	48.111	2.116	1.035	42755	1.074	4360	0.083	57.385	David (2.050%)	Andrew (1.901%)	Emma (1.893%)	Christopher (1.882%)	Paul (1.825%)	J (7.864%)	A (5.564%)	L (5.447%)	M (5.279%)	Louise (4.155%)
1982	54600	27181	26312	1107	49.782	48.190	2.027	1.033	44220	1.082	4541	0.083	58.555	Christopher (2.070%)	David (2.004%)	Andrew (1.936%)	Sarah (1.881%)	Daniel (1.758%)	J (8.308%)	A (6.054%)	L (5.596%)	M (5.318%)	Louise (3.853%)
1983	55736	28051	26578	1107	50.328	47.686	1.986	1.055	45339	1.082	4514	0.081	58.573	Christopher (2.343%)	David (2.133%)	Andrew (1.904%)	Sarah (1.889%)	Daniel (1.695%)	J (7.573%)	L (5.294%)	A (5.111%)	M (4.836%)	Louise (4.512%)
1984	57693	28812	27831	1050	49.940	48.240	1.820	1.035	47336	1.086	4520	0.078	57.876	Christopher (2.243%)	Daniel (1.858%)	David (1.801%)	Andrew (1.756%)	Sarah (1.730%)	J (7.312%)	L (5.676%)	A (5.315%)	M (4.885%)	Louise (4.850%)
1985	60398	30074	29279	1045	49.793	48.477	1.730	1.027	49990	1.091	4841	0.080	59.285	Daniel (2.209%)	Christopher (2.066%)	James (1.772%)	David (1.760%)	Michael (1.568%)	J (7.915%)	L (5.748%)	A (5.479%)	M (5.136%)	Louise (4.327%)
1986	58512	28943	28523	1046	49.465	48.747	1.788	1.015	49199	1.101	4779	0.082	57.983	Daniel (2.357%)	Christopher (2.063%)	James (1.752%)	Andrew (1.555%)	Sarah (1.552%)	J (7.930%)	L (5.829%)	A (5.686%)	M (5.027%)	Louise (4.213%)
1987	60132	29958	29201	973	49.820	48.561	1.618	1.026	50866	1.103	4606	0.077	57.230	Daniel (2.504%)	Christopher (2.057%)	Sarah (1.766%)	James (1.691%)	Matthew (1.512%)	J (7.841%)	L (6.561%)	A (5.868%)	M (5.110%)	Louise (4.192%)
1988	58782	29153	28791	838	49.595	48.979	1.426	1.013	49960	1.110	4612	0.078	57.697	Daniel (2.312%)	Christopher (1.751%)	James (1.701%)	Thomas (1.657%)	Matthew (1.555%)	J (7.834%)	L (6.268%)	A (5.788%)	M (5.117%)	Louise (4.327%)
1989	59570	29305	29338	927	49.194	49.250	1.556	0.999	51306	1.111	4704	0.079	57.696	Daniel (2.286%)	James (2.008%)	Matthew (1.754%)	Christopher (1.722%)	Thomas (1.662%)	J (7.523%)	L (5.970%)	A (5.451%)	M (4.900%)	Louise (4.117%)
1990	64739	31878	31810	1051	49.241	49.136	1.623	1.002	56028	1.117	5047	0.078	58.708	Daniel (2.606%)	James (1.846%)	Thomas (1.750%)	Matthew (1.749%)	Christopher (1.687%)	J (7.598%)	L (5.833%)	A (5.183%)	M (4.536%)	Louise (4.172%)
1991	65970	32690	32209	1071	49.553	48.824	1.623	1.015	57074	1.125	5329	0.081	59.073	Daniel (2.539%)	Thomas (2.013%)	James (1.860%)	Matthew (1.730%)	Rebecca (1.502%)	J (7.612%)	L (5.953%)	A (5.540%)	M (4.423%)	Louise (3.747%)
1992	66100	32713	32370	1017	49.490	48.971	1.539	1.011	57462	1.115	5349	0.081	58.665	Daniel (2.231%)	Thomas (2.079%)	James (1.734%)	Matthew (1.501%)	Rebecca (1.498%)	J (7.642%)	L (5.808%)	A (5.321%)	M (4.418%)	Louise (3.539%)
1993	64495	32208	31319	968	49.939	48.560	1.501	1.028	56218	1.116	5305	0.082	57.776	Thomas (2.174%)	Daniel (1.960%)	James (1.580%)	Rebecca (1.496%)	Ryan (1.471%)	J (7.090%)	L (4.990%)	A (4.850%)	Louise (4.018%)	M (3.956%)
1994	63968	31834	31109	1025	49.766	48.632	1.602	1.023	55947	1.125	5447	0.085	57.665	Thomas (1.929%)	Daniel (1.723%)	Jack (1.629%)	Ryan (1.543%)	Joshua (1.521%)	J (6.502%)	L (4.955%)	A (4.798%)	M (4.120%)	Louise (3.491%)
1995	59700	29741	28927	1032	49.817	48.454	1.729	1.028	52098	1.128	5412	0.091	58.389	Jack (1.809%)	Thomas (1.742%)	Daniel (1.697%)	Joshua (1.541%)	James (1.392%)	J (7.127%)	L (5.098%)	A (4.861%)	M (4.232%)	Louise (3.327%)
1996	58827	29615	28157	1055	50.343	47.864	1.793	1.052	51469	1.129	5436	0.092	58.591	Daniel (1.785%)	Jack (1.771%)	Thomas (1.559%)	Joshua (1.443%)	James (1.399%)	J (5.137%)	L (3.783%)	Louise (3.640%)	A (3.582%)	M (3.429%)
1997	57894	29043	27809	1042	50.166	48.034	1.800	1.044	51024	1.135	5543	0.096	58.939	Jack (1.741%)	Thomas (1.608%)	James (1.530%)	Chloe (1.515%)	Daniel (1.428%)	J (4.514%)	Louise (3.791%)	James (3.618%)	L (3.102%)	A (2.913%)
1998	57719	28946	27755	1018	50.150	48.086	1.764	1.043	50482	1.155	5598	0.097	57.931	Chloe (1.734%)	Jack (1.667%)	Thomas (1.639%)	Joshua (1.318%)	James (1.268%)	J (4.409%)	Louise (3.584%)	James (3.483%)	A (2.999%)	L (2.994%)
1999	56940	28625	27155	1160	50.272	47.691	2.037	1.054	49757	1.139	5667	0.100	57.861	Jack (1.714%)	Chloe (1.623%)	Thomas (1.595%)	Joshua (1.389%)	James (1.294%)	J (4.343%)	James (3.351%)	Louise (3.073%)	A (2.878%)	M (2.873%)
2000	45655	22766	22005	884	49.865	48.198	1.936	1.035	40185	1.145	4895	0.107	56.629	Jack (1.682%)	Chloe (1.621%)	Thomas (1.544%)	Joshua (1.542%)	James (1.310%)	James (3.572%)	J (3.174%)	Louise (3.065%)	A (2.372%)	M (2.202%)
2001	46252	23042	22275	935	49.818	48.160	2.022	1.034	40476	1.142	5141	0.111	59.813	Jack (1.723%)	Thomas (1.593%)	Joshua (1.475%)	Chloe (1.403%)	James (1.217%)	James (3.563%)	J (3.070%)	Louise (3.016%)	M (2.159%)	A (2.023%)
2002	46934	23333	22672	929	49.714	48.306	1.979	1.029	41079	1.145	5263	0.112	59.738	Jack (1.773%)	Joshua (1.498%)	Thomas (1.366%)	Chloe (1.095%)	Joseph (1.010%)	James (3.498%)	Louise (3.388%)	J (3.018%)	L (2.178%)	M (2.155%)
2003	49340	24620	23618	1102	49.899	47.868	2.233	1.042	43165	1.146	5668	0.115	61.927	Jack (1.678%)	Joshua (1.656%)	Thomas (1.236%)	Ellie (1.060%)	Chloe (1.042%)	James (3.540%)	Louise (3.122%)	J (3.088%)	M (2.423%)	A (2.227%)
2004	51379	25550	24629	1200	49.728	47.936	2.336	1.037	44601	1.155	6151	0.120	61.583	Jack (1.619%)	Joshua (1.392%)	Thomas (1.162%)	Ellie (0.989%)	Oliver (0.971%)	James (3.514%)	J (3.178%)	Louise (3.044%)	M (2.268%)	A (2.120%)
2005	50007	24455	24271	1281	48.903	48.535	2.562	1.008	43212	1.158	6298	0.126	60.273	Jack (1.324%)	Joshua (1.152%)	Thomas (1.098%)	Oliver (0.968%)	James (0.866%)	James (3.385%)	J (2.942%)	Louise (2.664%)	M (2.232%)	A (2.192%)
2006	52658	26038	25206	1414	49.447	47.867	2.685	1.033	45320	1.157	6730	0.128	61.426	Jack (1.407%)	Joshua (1.098%)	Thomas (1.020%)	Charlie (0.868%)	Grace (0.856%)	James (3.332%)	J (2.914%)	Louise (2.285%)	M (2.216%)	A (1.951%)
2007	25339	12361	12389	589	48.783	48.893	2.324	0.998	21761	1.146	3368	0.133	46.229	Jack (1.334%)	Thomas (1.129%)	Oliver (1.038%)	Charlie (0.963%)	Grace (0.947%)	J (5.840%)	M (4.425%)	A (3.648%)	L (3.375%)	James (3.151%)
2008	20216	10127	9734	355	50.094	48.150	1.756	1.040	17634	1.160	2587	0.128	53.344	Oliver (1.514%)	Jack (1.261%)	Alfie (1.039%)	Charlie (1.004%)	Joshua (0.979%)	J (6.952%)	M (5.578%)	A (4.943%)	L (4.346%)	R (3.099%)
2009	17209	8426	8412	371	48.963	48.881	2.156	1.002	15000	1.165	2405	0.140	55.717	Oliver (1.348%)	Charlie (1.127%)	Harry (1.122%)	Alfie (1.122%)	William (1.081%)	J (6.566%)	M (4.814%)	L (4.127%)	A (3.847%)	R (3.114%)
2010	11586	5674	5668	244	48.973	48.921	2.106	1.001	10018	1.149	1740	0.150	50.920	Oliver (1.260%)	Jack (1.157%)	Harry (1.139%)	Olivia (1.113%)	Charlie (1.062%)	James (4.351%)	Rose (2.658%)	J (2.527%)	Grace (2.310%)	Louise (2.076%)
2011	6112	2889	3023	200	47.268	49.460	3.272	0.956	5145	1.176	1199	0.196	51.293	Riley (1.243%)	Jack (1.096%)	Oliver (1.047%)	Ruby (1.047%)	Alfie (0.998%)	James (4.679%)	Grace (2.927%)	Rose (2.447%)	Louise (2.216%)	M (2.083%)
2012	13664	6795	6430	439	49.729	47.058	3.213	1.057	11812	1.180	2161	0.158	71.124	Harry (1.288%)	Riley (1.251%)	Amelia (1.237%)	Jack (1.222%)	Alfie (1.178%)	James (4.312%)	Rose (3.164%)	Louise (2.088%)	Grace (2.045%)	J (1.887%)
2013	13254	6528	6276	450	49.253	47.352	3.395	1.040	11391	1.182	2131	0.161	58.611	Oliver (1.094%)	Jacob (1.034%)	Harry (1.026%)	Amelia (0.988%)	Alfie (0.973%)	James (4.433%)	Rose (2.607%)	J (2.094%)	Louise (1.983%)	John (1.827%)
2014	10582	5174	5057	351	48.894	47.789	3.317	1.023	8999	1.197	1934	0.183	58.687	Jacob (1.295%)	Jack (1.257%)	Oliver (1.030%)	Amelia (1.011%)	Oscar (0.936%)	James (3.787%)	Rose (2.933%)	Grace (2.283%)	John (2.089%)	J (2.005%)
2015	790	367	402	21	46.456	50.886	2.658	0.913	708	1.185	305	0.386	29.836	Oscar (1.772%)	George (1.519%)	Oliver (1.392%)	Olivia (1.392%)	Isabelle (1.266%)	James (4.887%)	John (3.814%)	Rose (3.218%)	George (2.265%)	M (2.145%)
2016	696	288	390	18	41.379	56.034	2.586	0.738	618	1.197	272	0.391	62.500	Charlie (1.724%)	Isabella (1.580%)	Florence (1.437%)	Noah (1.293%)	Freya (1.293%)	Rose (4.595%)	J (3.378%)	Elizabeth (2.973%)	M (2.703%)	John (2.432%)
2017	490	199	270	21	40.612	55.102	4.286	0.737	446	1.191	204	0.416	65.686	Oliver (2.041%)	Matilda (1.837%)	Olivia (1.837%)	Emilia (1.633%)	Freddie (1.429%)	James (3.390%)	Rose (3.202%)	John (2.448%)	L (2.260%)	Lee (1.883%)
2018	263	122	134	7	46.388	50.951	2.662	0.910	239	1.138	125	0.475	72.800	Oliver (3.042%)	Victor (2.281%)	Finley (2.281%)	Joshua (1.901%)	Clark (1.901%)	Rose (4.044%)	George (3.676%)	David (3.676%)	May (2.941%)	Elizabeth (2.941%)
2019	187	74	106	7	39.572	56.684	3.743	0.698	167	1.132	95	0.508	84.211	George (3.209%)	River (2.674%)	Marco (2.674%)	Lucas (2.139%)	Poppy (2.139%)	William (3.175%)	Isaac (2.646%)	Rose (2.646%)	M (2.646%)	May (2.646%)
2020	113	54	56	3	47.788	49.558	2.655	0.964	108	1.250	65	0.575	73.846	Bertie (6.195%)	Kenneth (3.540%)	Henry (3.540%)	Vienna (3.540%)	Annie (2.655%)	May (4.444%)	M (3.704%)	Robert (3.704%)	B (3.704%)	Geoffrey (2.963%)
2021	123	64	58	1	52.033	47.154	0.813	1.103	111	1.306	64	0.520	92.188	Arthur (3.252%)	Nellie (3.252%)	Olwen (3.252%)	Maven (3.252%)	George (2.439%)	James (6.207%)	Rose (3.448%)	M (3.448%)	L (3.448%)	Eden (2.759%)
2022	88	44	38	6	50.000	43.182	6.818	1.158	84	1.190	46	0.523	91.304	Rowan (6.818%)	Ava (4.545%)	Reuben (4.545%)	Roman (4.545%)	Phoebe (3.409%)	R (5.000%)	George (4.000%)	Alice (4.000%)	Wilfred (3.000%)	Ian (3.000%)
